[0.000000] [mapper_bare_metal/INFO] Process ID: 28959, Thread ID: 28973, Task ID: Task_11, Core ID: 27 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28959, Thread ID: 28975, Task ID: Task_10, Core ID: 29 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28959, Thread ID: 28977, Task ID: Task_9, Core ID: 31 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 29015, Thread ID: 29032, Task ID: Task_9, Core ID: 31 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 29015, Thread ID: 29026, Task ID: Task_12, Core ID: 25 => read: Task_0->Task_12, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 29015, Thread ID: 29028, Task ID: Task_11, Core ID: 27 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 29015, Thread ID: 29030, Task ID: Task_10, Core ID: 29 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 29015, Thread ID: 29040, Task ID: Task_8, Core ID: 28 => read: Task_0->Task_8, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21100, Task ID: mDiffFit_ID0000572, Core ID: 2 => read: mProject_ID0000434->mDiffFit_ID0000572, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21156, Task ID: mDiffFit_ID0000495, Core ID: 5 => read: mProject_ID0000418->mDiffFit_ID0000495, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21157, Task ID: mDiffFit_ID0000446, Core ID: 1 => read: mProject_ID0000413->mDiffFit_ID0000446, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21159, Task ID: mDiffFit_ID0000458, Core ID: 2 => read: mProject_ID0000431->mDiffFit_ID0000458, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21160, Task ID: mDiffFit_ID0000493, Core ID: 28 => read: mProject_ID0000441->mDiffFit_ID0000493, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21164, Task ID: mDiffFit_ID0000456, Core ID: 29 => read: mProject_ID0000424->mDiffFit_ID0000456, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21177, Task ID: mDiffFit_ID0000478, Core ID: 7 => read: mProject_ID0000418->mDiffFit_ID0000478, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
